x1	y1	x2	y2
473	144	507	203
250	167	272	212
697	206	756	237
37	29	68	85
96	300	129	339
82	342	111	364
447	387	483	444
551	89	583	131
573	511	605	560
696	77	734	122
785	7	809	38
901	172	944	239
917	330	944	375
912	397	953	475
854	465	915	488
491	591	530	647
566	587	597	619
330	618	362	642
572	858	634	896
590	871	628	918
408	914	450	955
359	1021	389	1071
276	1101	319	1143
350	1119	392	1167
704	1041	735	1103
723	758	748	810
321	799	344	824
270	1023	300	1057
704	1102	723	1130
663	904	688	931
677	634	723	677
689	768	718	797
738	842	765	889
901	898	930	950
933	951	968	998
897	713	924	755
949	630	983	713
109	895	138	952
1045	1113	1103	1130
1280	1112	1357	1143
1434	1072	1466	1122
1367	1137	1414	1175
1252	955	1290	1009
1287	864	1328	907
1338	707	1368	762
1293	705	1328	743
1023	694	1051	715
1003	717	1049	739
1083	736	1110	755
1144	801	1173	828
1165	825	1198	855
1213	760	1235	788
1509	937	1539	965
1128	107	1162	160
1184	242	1247	287
1265	426	1296	492
1069	241	1103	262
1456	208	1492	238
1496	332	1545	369
