x1	y1	x2	y2	celltype
36	0	138	70	1
146	1	269	40	1
219	1	290	101	1
54	108	183	182	1
-2	178	35	251	1
1	252	58	364	1
33	260	115	340	1
356	157	483	249	1
277	298	397	394	1
153	430	283	518	1
143	625	266	735	1
136	665	235	805	1
498	272	589	408	1
666	273	763	430	1
860	52	946	155	1
533	0	619	57	1
1031	49	1166	165	1
1220	70	1290	185	1
1158	265	1268	355	1
1425	-1	1506	40	1
1519	258	1601	375	1
1444	284	1570	464	1
1226	414	1365	481	1
975	352	1147	490	1
1045	481	1162	590	1
1441	499	1561	633	1
1399	559	1514	669	1
1322	605	1404	686	1
1448	659	1549	757	1
911	681	1081	779	1
629	664	737	766	1
531	468	637	561	1
1382	128	1508	236	1
785	802	883	946	1
499	840	576	949	1
1415	1003	1536	1108	1
1227	1123	1318	1199	1
1157	1122	1243	1198	1
811	986	988	1060	1
1157	1123	1245	1197	1
1073	1034	1161	1136	1
482	1093	619	1202	1
175	1038	271	1142	1
371	765	448	857	1
492	710	563	845	1
628	435	718	573	1
910	576	1020	655	1
1083	677	1223	774	1
986	767	1117	869	1
769	1064	874	1169	1
-1	657	24	811	1
91	933	191	1031	1
1	1015	112	1139	1
547	858	633	980	1
167	1059	198	1115	3
326	940	353	965	3
262	1089	296	1113	3
483	547	524	615	3
426	537	465	576	3
488	636	515	675	3
433	800	467	846	3
196	1078	228	1127	3
228	1136	260	1169	3
1224	598	1268	664	3
929	229	988	272	3
1048	160	1088	198	3
1281	123	1334	159	3
1356	16	1412	79	3
1481	112	1512	148	3
1397	801	1443	830	3
1559	965	1585	998	2
1555	949	1597	1036	1
1196	891	1289	993	1
1562	851	1588	872	2
1551	863	1599	900	2
1546	890	1584	924	2
1462	833	1502	868	2
1411	824	1446	851	2
1350	864	1378	889	2
1421	1079	1447	1098	2
1445	1098	1467	1122	2
731	808	805	941	1
909	689	1000	751	1
1462	852	1492	884	2
1469	1085	1491	1113	2
1513	1105	1549	1135	2
1526	1132	1563	1177	2
1423	1114	1475	1154	2
1339	813	1370	843	2
1250	801	1280	830	2
1254	861	1287	892	2
1222	888	1246	914	2
1205	920	1230	942	2
1230	931	1254	951	2
1271	934	1296	955	2
1261	906	1289	931	2
1201	966	1233	992	2
1027	973	1052	1002	2
1134	1035	1163	1060	2
1069	1080	1098	1119	2
1104	1099	1137	1131	2
1254	1185	1280	1196	2
1222	1140	1248	1162	2
1344	1176	1372	1197	2
1499	778	1536	810	2
1427	653	1468	699	2
1384	667	1411	691	2
1305	683	1333	713	2
1289	659	1321	689	2
1288	627	1322	657	2
1296	587	1334	616	2
1331	608	1360	638	2
1360	605	1392	628	2
1197	634	1227	659	2
1233	740	1257	762	2
1168	739	1209	770	2
1150	762	1186	787	2
1185	713	1230	746	2
1112	699	1146	725	2
1152	888	1203	925	2
1028	1018	1069	1054	2
990	1074	1027	1136	2
979	1136	1021	1197	2
914	1123	947	1158	2
881	1149	911	1189	2
867	1055	896	1080	2
995	999	1024	1030	2
733	1159	761	1194	2
774	1023	800	1048	2
718	1031	747	1058	2
748	986	782	1013	2
654	1058	689	1095	2
607	1075	635	1109	2
605	1147	646	1185	2
545	1179	574	1198	2
495	1066	520	1094	2
476	1095	509	1127	2
438	1035	483	1072	2
415	1028	459	1075	2
383	1055	420	1080	2
370	1110	411	1140	2
293	1140	328	1169	2
181	1156	224	1199	2
174	1125	200	1149	2
229	1102	256	1127	2
235	1073	258	1096	2
255	1030	301	1081	2
230	967	256	996	2
252	897	285	960	2
252	949	290	984	2
437	849	462	880	2
460	857	488	884	2
493	863	522	886	2
504	900	548	930	2
505	932	530	959	2
451	888	490	919	2
417	900	453	939	2
430	932	465	966	2
180	916	211	946	2
640	976	666	1009	2
660	958	694	980	2
674	940	725	985	2
665	858	693	891	2
690	860	718	898	2
624	904	651	930	2
529	960	554	989	2
553	970	586	1000	2
788	890	821	927	2
815	929	837	947	2
826	921	872	962	2
812	852	841	882	2
834	820	878	858	2
894	862	915	891	2
896	802	931	830	2
921	871	956	896	2
942	905	994	945	2
1002	904	1042	931	2
1003	872	1039	897	2
994	781	1033	804	2
1006	754	1030	778	2
1046	677	1073	705	2
783	746	815	786	2
810	750	839	778	2
835	757	864	785	2
852	709	882	739	2
836	655	876	713	2
837	625	865	653	2
1006	538	1033	564	2
745	705	781	732	2
717	703	752	725	2
680	738	702	773	2
560	680	584	708	2
560	702	588	734	2
555	773	585	800	2
485	813	516	837	2
481	730	510	761	2
509	674	546	709	2
486	627	511	649	2
449	621	473	645	2
301	617	326	638	2
341	631	382	653	2
308	647	349	670	2
311	677	346	707	2
379	667	420	692	2
270	690	323	721	2
270	615	311	645	2
210	588	250	619	2
304	514	345	547	2
319	467	367	506	2
279	457	326	491	2
352	499	400	540	2
380	493	418	523	2
425	491	459	514	2
458	530	485	550	2
448	548	478	575	2
317	766	348	795	2
326	803	353	834	2
532	555	559	583	2
641	480	680	528	2
687	528	729	571	2
750	475	781	512	2
701	440	731	463	2
1063	558	1090	585	2
1026	610	1085	644	2
1098	512	1131	535	2
1050	500	1090	533	2
1118	450	1149	471	2
1176	557	1206	588	2
1281	516	1313	545	2
940	439	973	456	2
905	455	949	479	2
880	410	931	460	2
1247	457	1279	476	2
1402	424	1437	453	2
1349	415	1371	433	2
1406	467	1440	496	2
1382	473	1414	504	2
1445	551	1473	582	2
1536	517	1563	542	2
1544	540	1569	571	2
883	980	918	1007	2
879	396	969	502	1
929	320	968	356	2
976	278	1010	312	2
1059	328	1085	353	2
1047	349	1073	383	2
1173	152	1213	189	2
1230	52	1266	87	2
1239	150	1274	184	2
1269	191	1306	221	2
1311	221	1359	263	2
1332	270	1357	299	2
1207	329	1238	356	2
1103	275	1155	318	2
1080	259	1119	289	2
1047	290	1133	411	1
1374	208	1410	235	2
1375	259	1402	292	2
1434	187	1463	210	2
1393	153	1449	175	2
1470	178	1497	205	2
1459	158	1498	207	2
1513	15	1544	43	2
1437	44	1493	86	2
1587	16	1600	48	2
966	49	998	79	2
863	27	892	57	2
884	22	912	48	2
930	9	951	51	2
879	-1	927	26	2
980	-1	1017	13	2
766	70	797	93	2
775	94	809	118	2
766	118	799	146	2
806	203	837	235	2
673	125	697	148	2
680	166	705	193	2
756	193	782	214	2
763	219	793	241	2
763	248	799	272	2
781	273	824	299	2
785	294	822	325	2
763	310	795	341	2
681	312	714	335	2
691	273	720	301	2
707	247	735	284	2
724	273	751	308	2
612	300	645	328	2
551	172	585	205	2
552	55	576	82	2
595	23	625	53	2
639	104	680	130	2
641	87	690	111	2
647	36	683	69	2
708	0	743	35	2
645	0	684	18	2
1129	108	1163	138	2
1104	83	1131	102	2
1132	73	1157	94	2
1102	140	1134	167	2
534	395	596	425	2
476	386	508	429	2
466	385	547	437	3
458	319	491	350	2
479	113	520	148	2
432	4	469	30	2
391	13	427	44	2
431	29	455	55	2
403	241	431	268	2
405	288	433	322	2
368	251	393	282	2
526	313	554	334	2
323	281	350	301	2
297	253	317	272	2
294	368	319	390	2
223	394	257	433	2
234	201	276	240	2
237	250	277	282	2
287	181	316	204	2
264	120	306	150	2
299	80	344	106	2
221	99	250	133	2
93	1159	122	1185	2
121	1178	168	1200	2
1	1160	33	1200	2
72	1037	116	1075	2
37	996	122	1102	1
122	1042	154	1082	2
108	1073	143	1113	2
132	886	163	932	2
116	810	148	843	2
160	792	193	823	2
194	634	232	660	2
64	548	96	575	2
0	790	18	810	2
36	811	86	842	2
66	515	100	546	2
15	506	86	547	3
399	113	440	152	2
416	85	459	120	2
108	82	137	105	2
78	87	102	114	2
75	267	109	296	2
65	354	96	381	2
0	366	33	402	2
141	10	177	49	2
215	1	249	34	2
78	0	122	27	2
220	370	260	393	2
248	354	286	381	2
