x1	y1	x2	y2
114	0	134	39
168	124	193	161
603	207	634	256
657	280	687	329
702	399	736	437
726	368	759	408
440	485	542	522
342	465	376	490
382	524	415	551
185	551	228	570
169	514	209	536
134	121	170	158
25	131	57	161
154	280	182	314
304	280	335	312
219	568	246	608
293	472	327	501
865	19	903	93
856	-1	893	33
753	87	794	138
595	374	634	426
425	267	457	312
452	269	484	302
341	55	364	81
502	49	537	77
636	107	658	131
787	106	817	139
828	302	862	330
111	613	162	675
102	617	134	649
-3	678	22	714
15	695	108	728
58	701	77	757
40	655	60	683
88	769	129	793
183	775	211	804
191	846	217	873
240	838	273	904
683	664	774	715
763	626	834	676
865	745	900	812
471	771	503	815
735	958	765	998
651	801	683	836
594	692	626	732
549	968	569	1000
718	598	756	633
690	602	720	638
772	594	810	630
508	588	549	611
550	624	582	654
647	588	686	621
811	699	836	729
254	644	302	684
255	709	281	745
7	878	34	912
151	815	179	841
382	823	414	848
360	938	389	964
323	898	355	928
312	926	339	954
315	962	351	996
184	957	209	1007
778	935	805	964
843	540	870	557
863	536	890	554
0	1114	43	1151
149	1130	187	1182
163	1025	210	1062
201	1070	232	1095
204	1124	225	1148
248	1152	284	1191
310	1139	376	1183
331	1130	357	1198
495	1081	539	1120
507	970	535	991
654	1048	676	1071
752	1122	784	1151
790	1065	824	1084
784	1015	816	1030
815	1043	853	1069
1040	685	1131	713
1286	698	1352	762
1105	878	1163	951
1038	837	1089	885
996	818	1029	851
938	976	976	1010
955	1109	1024	1137
1074	1126	1109	1156
1471	1139	1503	1175
1080	806	1106	847
1254	903	1315	933
1290	887	1364	930
1349	951	1377	988
1326	984	1359	1065
1568	1121	1600	1146
1365	821	1397	854
1470	878	1516	901
1375	686	1394	726
1044	605	1082	657
928	354	965	418
949	356	976	389
1214	456	1236	483
1072	295	1098	339
1391	557	1419	588
1561	546	1597	573
1494	434	1522	471
1377	414	1420	440
1413	371	1436	412
1292	218	1339	241
1289	242	1346	268
1264	196	1295	239
1370	186	1427	218
1429	162	1480	199
897	149	934	185
1523	135	1602	161
1482	161	1543	195
1372	67	1404	100
1338	28	1369	66
1411	-1	1439	30
1566	97	1597	143
1306	66	1340	91
1325	125	1359	156
1102	113	1119	149
1135	99	1178	137
1040	32	1060	68
808	43	854	67
748	631	841	695
261	748	326	833
1395	850	1438	884
1289	905	1321	949
