x1	y1	x2	y2
139	114	210	211
-2	168	40	336
204	237	287	335
0	528	105	652
54	415	162	555
124	419	196	532
504	350	580	423
491	377	588	483
580	345	665	503
626	276	766	380
616	483	715	572
207	593	314	698
370	537	480	626
362	503	465	587
807	335	907	433
658	611	791	705
905	637	1005	763
0	694	113	836
32	948	132	1050
347	827	409	910
609	937	689	1041
666	1055	779	1199
565	1110	656	1200
767	904	850	1008
990	770	1090	916
1057	745	1167	862
1132	613	1256	820
996	547	1078	689
1460	961	1590	1097
1567	1055	1599	1179
1469	382	1565	550
1158	525	1234	616
1223	355	1331	511
1453	332	1580	441
1417	236	1509	374
1268	64	1371	273
1178	1	1274	134
835	132	916	231
1367	0	1448	129
1530	0	1600	44
1547	119	1599	217
1463	202	1588	284
