x1	y1	x2	y2
62	18	86	44
99	41	122	63
88	54	112	76
0	76	21	105
71	79	97	108
12	130	34	154
1	158	17	184
99	199	129	225
122	172	160	200
163	108	191	135
189	122	213	147
191	86	229	109
234	88	259	111
241	106	265	126
263	108	291	133
250	135	274	167
234	150	264	178
234	20	263	53
271	9	299	35
182	1	215	37
314	140	345	178
364	110	404	151
381	83	417	114
416	62	441	82
487	38	511	68
524	0	554	15
468	177	497	203
515	167	544	186
485	108	520	137
428	118	471	148
563	30	599	58
597	139	626	175
629	123	656	145
656	105	688	135
678	124	710	152
743	45	776	79
726	14	751	40
683	9	711	43
614	184	642	212
574	203	607	232
540	176	585	222
535	228	555	250
458	196	495	234
411	212	450	249
414	227	440	255
458	240	481	261
396	253	426	276
371	266	400	291
337	261	365	286
295	227	316	246
112	221	137	250
129	211	155	247
48	245	70	266
82	270	113	302
134	296	172	317
154	289	179	314
206	244	227	266
328	330	354	354
522	302	550	335
529	273	560	312
528	274	554	296
517	268	545	297
558	252	586	275
700	228	733	262
439	289	475	322
279	334	314	365
240	353	279	377
174	336	202	363
129	333	164	357
42	334	84	363
159	391	191	418
166	379	190	413
185	424	218	460
97	464	145	507
93	466	121	483
146	472	173	500
165	472	192	500
191	468	220	499
68	501	88	520
123	520	145	535
130	564	160	588
89	587	119	618
45	593	78	613
0	605	29	633
99	629	132	664
255	526	293	554
320	545	351	569
343	523	368	551
343	494	371	522
312	424	342	453
276	389	319	436
307	347	344	368
341	431	384	462
382	416	419	456
430	426	458	451
444	454	470	474
491	445	521	472
496	420	519	448
573	369	604	402
592	340	633	370
659	324	695	352
736	329	758	354
745	312	768	335
727	263	751	285
781	185	807	209
786	203	811	225
834	138	859	158
829	162	863	200
873	179	896	206
819	257	848	283
920	181	944	209
932	198	959	221
964	220	992	245
760	369	795	402
737	396	766	425
746	401	769	424
712	413	738	436
852	426	878	447
827	452	858	479
886	489	913	511
802	496	855	529
756	533	794	569
761	553	795	581
837	548	865	579
715	538	740	569
943	307	992	360
974	257	1008	287
907	0	940	26
880	14	902	39
918	30	946	52
877	61	908	81
958	69	984	92
955	453	981	481
483	541	511	571
448	555	487	589
419	575	452	594
417	608	449	636
448	592	476	615
482	624	508	654
521	638	548	665
551	627	573	652
579	619	606	649
573	582	599	615
294	604	318	628
660	580	698	605
192	576	221	603
71	626	100	650
78	654	103	679
86	684	119	713
