x1	y1	x2	y2
425	0	478	24
24	81	119	179
84	122	181	201
132	200	241	277
431	62	541	150
581	9	636	64
436	345	526	455
251	386	324	488
82	407	161	507
46	448	167	530
132	493	206	554
297	568	339	611
435	514	533	599
595	448	679	525
542	463	643	533
797	395	874	464
731	213	824	319
875	45	965	127
902	74	962	130
837	186	925	277
864	211	918	269
703	510	763	570
478	467	558	532
321	650	415	720
82	819	157	888
26	726	115	779
220	849	267	906
243	903	324	980
0	847	76	955
370	898	448	1008
450	861	525	946
482	710	578	817
560	661	637	730
514	632	584	684
778	670	852	746
830	673	915	741
691	842	757	913
579	856	645	917
758	924	855	1037
-1	1118	72	1202
210	1045	285	1119
466	1161	501	1197
533	1043	620	1124
615	1096	682	1162
669	1167	758	1197
768	1107	865	1196
779	1041	863	1112
918	846	1016	932
1052	1089	1120	1158
1109	1088	1170	1137
1117	1008	1197	1101
1216	1046	1296	1124
1258	1026	1322	1077
1321	1018	1380	1084
1397	1043	1475	1115
1479	936	1558	1046
1235	926	1306	988
1145	885	1214	955
1076	812	1135	900
967	667	1017	745
988	672	1057	750
1439	833	1491	877
1490	738	1547	793
1522	641	1561	689
926	499	1019	580
1009	432	1078	497
1054	331	1126	419
1130	443	1200	501
976	172	1017	211
1039	145	1114	230
1113	66	1191	176
1144	93	1191	162
1282	158	1365	255
1313	384	1400	469
1297	518	1361	610
1276	536	1399	635
1442	572	1503	649
1499	531	1576	610
1485	451	1590	531
1415	341	1522	429
1350	253	1428	335
1473	252	1578	339
1331	86	1429	173
1179	47	1256	127
1145	199	1222	263
944	1	1035	46
1440	0	1519	35
1010	492	1079	567
185	45	266	106
12	680	118	749
469	1034	545	1101
626	627	712	708
1538	1021	1596	1119
