x1	y1	x2	y2
226	431	277	473
419	382	468	415
436	388	487	422
507	342	564	383
612	260	684	293
788	197	822	222
855	124	927	177
942	35	1005	87
942	153	971	206
881	145	928	175
874	451	945	499
470	168	505	207
333	329	371	363
164	467	198	488
50	420	109	461
147	520	192	548
97	529	141	565
278	506	339	540
870	271	897	309
813	314	856	343
913	456	948	474
256	643	294	682
384	743	415	788
60	688	99	726
596	1026	645	1071
730	991	785	1058
655	616	718	639
727	736	774	763
0	1028	16	1107
349	1057	376	1089
365	1084	381	1132
516	1090	556	1121
907	1080	928	1118
758	917	792	981
816	855	849	888
832	898	860	945
913	961	947	1007
967	841	1017	865
1131	1031	1187	1051
1458	1082	1508	1119
1456	1040	1503	1096
1564	1040	1601	1068
1259	1113	1288	1169
1131	900	1168	937
1176	843	1220	868
1045	744	1069	783
1137	709	1167	747
1088	654	1110	700
1247	639	1275	671
1453	795	1506	811
1007	529	1047	578
1540	567	1582	608
1567	612	1600	644
1547	533	1593	559
1543	492	1580	527
1311	428	1370	466
1080	438	1123	471
1370	89	1412	127
1213	266	1269	285
934	0	1004	33
