x1	y1	x2	y2
787	470	217	534
217	512	308	690
497	348	590	465
200	355	267	461
114	698	191	768
292	691	388	787
561	768	635	830
794	494	897	572
675	287	735	398
522	162	580	234
1001	225	1067	308
1172	447	1285	572
1481	135	1598	267
1524	231	1595	324
1292	10	1391	102
1042	0	1178	67
837	624	910	674
832	554	897	637
252	987	320	1062
508	961	587	1037
757	1074	837	1140
561	687	661	744
425	511	510	581
522	860	575	911
1321	618	1421	674
1115	224	1212	287
924	274	1010	352
917	337	1014	401
788	321	874	410
1458	580	1527	667
0	618	40	705
314	507	394	580
104	1100	205	1175
820	981	904	1058
1022	798	1097	900
225	934	321	995
521	712	610	788
1467	1154	1562	1195
1444	400	1521	457
1377	288	1497	341
1214	88	1305	137
