x1	y1	x2	y2	celltype
114	0	134	39	3
168	124	193	161	3
603	207	634	256	3
657	280	687	329	3
702	399	736	437	3
726	368	759	408	3
440	485	542	522	3
342	465	376	490	3
382	524	415	551	3
185	551	228	570	3
169	514	209	536	3
134	121	170	158	3
213	22	247	55	2
196	0	228	19	2
218	0	239	26	2
249	70	275	91	2
231	104	254	135	2
60	177	94	271	1
25	131	57	161	3
154	280	182	314	3
7	77	28	122	2
0	108	16	136	2
14	109	44	142	2
20	162	51	194	2
26	190	56	218	2
52	285	81	314	2
42	356	71	384	2
5	404	31	438	2
102	360	137	397	2
140	312	173	343	2
216	265	246	296	2
261	273	289	302	2
281	243	312	283	2
255	306	280	331	2
304	280	335	312	3
301	338	325	368	2
287	369	314	396	2
235	373	263	392	2
195	401	229	429	2
163	420	194	447	2
119	445	147	473	2
90	466	128	492	2
65	513	154	551	1
219	568	246	608	3
293	472	327	501	3
357	502	381	530	2
363	568	387	598	2
691	2	750	58	1
865	19	903	93	3
856	-1	893	33	3
753	87	794	138	3
512	88	569	138	1
595	374	634	426	3
367	326	393	356	2
363	343	388	368	2
372	367	404	402	2
389	338	419	375	2
425	267	457	312	3
452	269	484	302	3
365	226	393	255	2
349	263	384	283	2
368	185	396	212	2
377	172	403	197	2
387	142	412	170	2
408	137	440	170	2
341	55	364	81	3
338	134	360	157	2
374	109	405	132	2
383	56	419	83	2
421	0	452	20	2
421	1	470	38	1
502	49	537	77	3
484	29	506	56	2
538	13	575	44	2
537	40	582	66	2
594	35	626	66	2
548	0	579	18	2
636	107	658	131	3
593	162	627	200	2
582	230	604	260	2
511	299	552	325	2
525	311	562	337	2
509	343	540	367	2
544	353	586	384	2
569	349	604	384	2
558	384	590	414	2
558	287	587	320	2
646	497	679	526	2
687	553	715	584	2
611	259	643	284	2
667	226	695	254	2
670	196	700	219	2
703	185	737	219	2
727	255	752	291	2
749	262	795	305	2
761	179	785	204	2
787	106	817	139	3
799	134	830	164	2
826	129	854	157	2
898	73	944	104	2
775	37	807	66	2
731	0	764	28	2
786	1	814	18	2
508	154	537	179	2
468	146	499	171	2
683	155	720	184	2
800	244	843	275	2
828	302	862	330	3
111	613	162	675	3
102	617	134	649	3
-3	678	22	714	3
15	695	108	728	3
25	701	64	719	2
44	688	63	710	2
58	701	77	757	3
