x1	y1	x2	y2	celltype
412	0	498	42	1
494	106	561	193	1
344	194	409	298	1
235	278	313	336	1
6	349	68	370	3
89	249	135	279	3
45	51	71	79	2
4	68	33	98	2
84	54	107	82	2
112	20	140	56	2
103	-1	140	25	2
81	0	114	19	2
181	0	217	24	2
126	63	165	93	2
122	98	166	122	2
145	77	185	109	2
165	40	208	76	2
143	129	173	156	2
170	129	196	152	2
72	129	101	160	2
56	134	88	164	2
34	160	57	188	2
48	197	77	234	2
103	219	126	246	2
120	210	152	248	2
112	162	173	216	1
185	195	222	239	2
178	246	219	268	2
53	292	79	316	2
1	289	35	327	2
156	308	176	336	2
248	81	288	124	2
260	57	294	87	2
298	95	333	134	2
295	133	335	164	2
333	103	367	130	2
355	84	391	115	2
374	64	408	92	2
394	50	419	80	2
416	33	447	57	2
341	40	377	62	2
440	65	474	90	2
582	24	609	50	2
545	78	572	102	2
513	81	551	140	3
489	154	517	174	2
501	159	522	180	2
455	181	484	200	2
470	178	521	248	1
451	182	485	201	2
477	195	510	222	2
452	195	489	222	2
450	214	475	238	2
453	224	483	261	2
349	229	368	248	2
320	201	352	236	2
272	243	298	277	2
251	263	275	295	2
316	236	348	260	2
261	256	287	277	2
392	262	423	288	2
326	302	369	324	2
154	343	205	378	2
122	362	159	393	2
100	353	134	374	2
62	353	93	379	2
85	372	111	397	2
69	382	107	414	2
58	334	86	359	2
1	333	33	381	2
0	385	26	422	2
248	342	276	368	2
235	360	261	393	2
212	355	244	401	2
285	350	320	381	2
287	395	320	432	2
301	452	335	480	2
226	461	257	487	2
213	487	246	513	2
194	487	230	522	2
178	455	215	480	2
119	493	149	521	2
25	471	54	515	2
4	467	33	494	2
7	524	45	553	2
27	552	57	581	2
0	559	12	593	2
110	546	139	569	3
65	553	95	579	2
57	578	85	603	2
130	589	159	616	2
170	538	196	567	2
204	516	245	551	2
197	558	224	587	2
153	542	229	611	1
242	558	269	580	3
281	511	311	542	2
329	359	362	405	2
389	354	422	382	2
382	266	452	336	1
445	274	468	300	2
466	290	500	324	2
499	298	529	323	2
533	264	583	323	1
578	292	595	315	2
571	236	633	297	1
707	206	768	282	3
693	280	727	310	3
784	208	814	248	3
843	37	887	75	3
923	76	966	120	3
704	93	740	124	2
724	95	754	114	2
731	69	775	104	2
737	66	756	82	2
695	86	756	155	1
732	121	787	175	1
726	139	758	161	2
730	118	755	146	3
596	59	631	89	2
627	3	652	29	2
671	0	703	11	2
801	14	825	46	2
825	0	866	23	2
855	148	881	174	2
868	136	915	187	1
885	127	907	150	2
881	109	904	133	2
902	95	927	126	2
840	68	867	98	2
949	65	982	92	2
802	176	829	208	2
777	182	804	204	2
825	188	851	213	2
644	214	672	238	2
781	266	801	286	2
794	233	821	261	2
864	190	895	222	2
891	227	943	282	1
959	224	983	249	2
825	294	859	318	2
814	298	830	314	2
853	327	880	354	2
809	340	860	373	2
776	316	863	433	1
787	319	813	343	2
758	387	771	414	3
829	403	871	442	2
903	373	938	417	2
933	451	984	505	3
912	466	941	498	3
895	444	919	472	2
882	456	906	479	2
864	469	895	501	2
859	495	889	518	2
891	498	924	518	2
519	342	554	376	2
517	327	549	363	2
427	413	459	447	2
430	442	469	471	2
417	419	482	476	1
482	436	505	461	2
469	390	519	427	2
556	417	585	441	2
466	455	520	501	2
477	473	499	487	2
397	455	446	513	1
358	461	407	505	2
393	515	431	542	2
468	549	506	569	2
565	465	586	489	3
449	572	476	604	2
444	598	467	621	2
418	599	455	618	2
391	588	430	621	2
560	564	589	589	2
594	461	625	494	2
623	409	660	444	2
662	382	700	407	2
664	419	692	445	2
681	435	714	468	2
664	492	689	513	2
648	514	675	543	2
617	531	649	567	2
641	481	714	542	1
702	530	729	553	2
729	458	756	481	2
750	484	774	514	2
765	486	792	515	2
791	489	815	519	2
739	482	820	526	1
803	468	851	490	2
859	517	883	546	3
789	564	848	634	1
794	555	834	586	2
775	573	807	599	2
679	600	720	630	2
695	568	733	598	2
366	146	412	213	1
77	612	104	641	2
28	623	52	659	2
8	641	37	668	2
-1	649	10	670	2
43	669	67	700	2
107	631	145	684	1
109	655	132	676	2
129	723	153	750	2
144	710	172	740	2
162	759	197	784	3
313	691	356	716	3
355	757	386	805	3
242	687	289	726	2
274	676	305	703	2
290	648	317	683	2
264	649	294	672	2
210	653	241	682	2
198	633	231	661	2
215	720	238	747	2
237	723	264	754	2
110	792	144	814	2
110	890	147	924	2
44	881	75	909	2
194	855	234	897	2
224	841	263	883	2
219	905	247	927	2
221	931	247	966	2
186	936	221	966	2
195	912	219	936	2
174	914	222	940	2
111	928	149	957	2
122	964	153	990	2
57	985	88	1011	2
125	998	152	1018	2
167	965	199	988	2
184	963	228	1000	2
250	1000	293	1043	2
284	1031	315	1068	2
235	1042	262	1064	2
108	1071	137	1093	2
116	1079	148	1107	2
101	1100	135	1121	2
82	1096	135	1149	1
112	1136	138	1162	2
136	1136	161	1161	2
2	1060	22	1090	2
-1	912	10	947	2
-1	859	11	891	2
1	863	33	897	2
0	821	10	846	2
308	982	326	1005	2
330	992	366	1027	2
351	987	382	1015	2
367	969	400	997	2
345	957	369	977	2
335	940	365	961	2
307	926	329	945	2
363	877	385	899	2
301	948	329	969	2
319	803	356	844	2
377	794	432	853	1
406	753	447	800	2
416	794	450	820	2
443	726	466	751	2
463	834	491	867	2
479	706	509	733	2
451	668	474	689	2
474	630	504	655	2
381	632	473	677	1
346	648	378	672	2
526	680	557	723	2
544	659	573	685	2
616	638	646	660	2
628	623	675	663	2
669	673	698	700	2
595	687	655	718	3
547	689	591	728	3
539	743	564	771	2
567	751	595	779	2
574	773	609	804	2
601	758	632	786	2
627	747	664	773	2
585	704	686	809	1
657	791	693	833	2
636	797	667	826	2
534	836	567	872	2
554	865	586	886	2
577	849	608	874	2
595	834	625	860	2
615	841	643	875	2
603	870	632	896	2
564	884	614	926	2
740	801	767	836	2
715	687	754	715	2
443	917	473	952	2
402	930	434	960	2
436	967	468	996	2
463	992	513	1026	3
390	1049	410	1076	2
411	1048	437	1072	2
393	1068	430	1103	2
351	1076	396	1118	2
313	1095	348	1122	2
148	1099	187	1130	2
216	1124	242	1154	2
169	1136	195	1162	2
142	1150	171	1177	2
76	1184	100	1198	2
252	1176	291	1198	2
264	1181	292	1197	2
283	1153	308	1181	2
247	1146	276	1170	2
318	1157	342	1182	2
439	1114	502	1175	1
466	1089	493	1129	2
479	1103	519	1143	2
522	1130	556	1178	2
508	1082	531	1102	2
497	1047	538	1095	2
515	1056	542	1083	2
522	1027	554	1055	2
523	1006	560	1041	2
472	1038	510	1061	2
490	950	520	978	2
536	1031	603	1109	1
578	1100	607	1120	2
568	1127	590	1145	2
631	1063	653	1086	2
613	1115	658	1146	2
659	1098	690	1134	2
693	1115	729	1151	2
698	1099	775	1178	1
669	1170	727	1199	1
631	1182	670	1198	2
773	1106	806	1142	2
710	1044	742	1066	2
710	1020	745	1051	2
723	1021	741	1036	2
616	995	646	1022	2
591	985	619	1014	2
588	982	609	1006	2
594	931	631	967	2
653	949	680	970	2
639	979	662	1000	2
702	965	738	985	2
700	939	727	967	2
640	862	727	931	1
671	930	709	957	2
750	826	788	860	2
733	798	812	864	3
781	800	813	832	2
817	772	845	799	2
768	741	812	777	2
692	730	748	783	1
696	733	721	755	2
831	821	869	865	2
876	820	915	856	2
917	881	939	908	2
924	956	955	986	2
897	986	938	1041	2
863	1012	898	1047	2
801	1047	830	1073	2
825	1062	862	1093	2
815	1097	856	1141	2
855	1101	897	1142	2
864	1112	889	1140	2
846	1138	876	1165	2
796	1150	843	1182	2
888	1156	926	1199	3
871	1164	901	1188	2
923	1146	945	1167	2
927	1182	960	1201	2
947	1160	971	1186	2
932	1031	1010	1133	2
950	1007	974	1036	2
996	1082	1031	1127	2
1044	1124	1078	1153	2
1055	1084	1083	1111	2
1054	1157	1102	1198	1
997	1172	1033	1194	2
1060	1037	1113	1087	1
1073	776	1142	878	1
1031	881	1066	925	3
1065	894	1099	934	3
1134	726	1176	772	3
1256	875	1334	901	3
1246	811	1302	843	3
1159	1019	1202	1059	2
1112	1081	1159	1133	2
1132	1127	1174	1163	2
1195	1137	1232	1176	2
1233	1095	1281	1133	2
1243	1047	1288	1087	2
1166	1080	1210	1115	2
1056	948	1078	968	2
1068	918	1109	956	2
1078	871	1116	898	2
998	919	1041	953	2
953	898	977	934	2
1022	936	1050	970	2
1115	947	1143	975	2
1097	1003	1121	1026	2
1115	1008	1146	1033	2
1101	1030	1131	1053	2
1372	1044	1403	1092	2
1301	988	1334	1033	2
1318	946	1340	974	2
1410	1043	1437	1068	2
1379	1087	1410	1136	3
1374	1126	1403	1164	2
1326	1170	1360	1196	2
1273	1144	1313	1173	2
1233	1167	1299	1200	1
1362	1189	1393	1200	2
1415	1112	1462	1160	1
1426	1150	1466	1183	2
1424	1164	1461	1192	2
1465	1121	1505	1171	2
1537	1094	1577	1120	2
1584	1104	1599	1132	2
1563	1133	1599	1168	2
1514	1028	1552	1062	2
1485	1013	1522	1040	2
1499	974	1550	1026	2
1508	1004	1540	1021	2
1440	965	1473	993	2
1427	983	1459	1019	2
1440	1001	1479	1028	2
1389	899	1420	923	2
1379	880	1402	900	2
1363	914	1401	936	2
1303	892	1329	918	2
1238	894	1295	932	2
1264	726	1315	773	1
1538	709	1583	757	1
1336	713	1368	745	2
1267	642	1301	663	2
1169	569	1220	614	1
1104	613	1168	670	1
1133	637	1161	665	2
1108	660	1139	694	2
1127	684	1153	709	2
1181	701	1210	732	2
1142	807	1173	836	2
1095	764	1123	791	2
1087	720	1136	802	1
1375	774	1413	800	1
1382	685	1457	772	1
1446	675	1475	711	2
1457	709	1490	739	2
1408	843	1435	875	2
1434	837	1458	862	2
1400	806	1432	848	2
1421	780	1464	813	2
1514	808	1538	833	2
1576	840	1600	870	2
1462	834	1519	900	1
1267	781	1304	818	2
1243	650	1277	674	2
1229	570	1259	604	2
1322	638	1347	668	2
1360	580	1390	616	2
1410	583	1439	607	2
1418	597	1451	630	2
1506	609	1529	636	2
1530	627	1566	660	2
1527	639	1585	692	1
1537	660	1575	691	2
1569	605	1595	632	2
1013	665	1049	688	2
1038	655	1058	674	2
968	687	998	717	2
957	672	986	699	2
933	662	976	690	2
896	682	971	744	1
922	704	948	730	2
917	726	945	756	2
939	753	964	776	2
982	780	1028	824	1
943	781	980	810	2
941	820	995	850	2
968	863	998	901	2
864	651	896	684	2
990	585	1030	645	1
1003	622	1032	653	2
1017	570	1045	601	2
1054	588	1075	610	2
1124	582	1156	621	2
1127	574	1180	639	1
942	574	997	615	2
1514	539	1591	625	1
1516	566	1552	600	2
1522	544	1551	569	2
1546	532	1572	556	2
1526	421	1584	475	2
1122	319	1185	392	1
1060	386	1088	412	2
977	353	1002	375	2
954	299	991	328	2
1007	363	1036	391	2
1086	521	1110	548	2
1094	522	1135	552	2
1064	486	1096	513	2
1049	455	1086	482	2
964	537	1008	569	2
930	356	984	402	2
982	227	1006	251	2
961	136	987	163	2
894	175	942	209	2
945	168	986	206	2
922	136	964	170	2
976	111	1007	140	2
789	88	841	127	2
796	41	844	82	2
1048	183	1081	210	2
1065	142	1118	173	2
1098	124	1198	140	3
1163	101	1189	124	2
1183	144	1216	166	2
1090	78	1133	121	2
1124	48	1164	72	2
1049	8	1125	75	1
1051	40	1087	68	2
1074	17	1106	49	2
1161	70	1190	90	2
1236	102	1266	120	2
1254	107	1283	129	2
1270	81	1304	112	2
1254	129	1296	166	2
1195	185	1233	225	2
1162	249	1201	293	1
1171	242	1196	269	2
1114	354	1137	392	2
1246	239	1275	268	2
1263	242	1294	264	2
1275	209	1309	239	2
1253	263	1282	284	2
1296	242	1341	293	3
1312	265	1357	314	1
1094	433	1124	453	2
1134	459	1197	524	1
1139	496	1170	525	2
1178	471	1200	497	2
1194	478	1224	504	2
1211	487	1238	517	2
1148	548	1175	568	2
1048	395	1117	463	1
1261	481	1293	509	2
1280	426	1307	452	2
1314	452	1338	479	2
1334	434	1365	463	2
1335	411	1359	439	2
1342	353	1390	400	1
1351	327	1387	352	2
1374	290	1400	319	2
1360	237	1393	267	2
1394	349	1435	394	2
1458	419	1482	443	2
1449	445	1481	466	2
1384	449	1426	506	1
1541	348	1578	398	2
1509	314	1593	360	3
1545	325	1578	352	2
1552	309	1586	330	2
1565	397	1599	428	2
1580	402	1599	433	2
1468	233	1493	253	2
1424	200	1455	231	2
1418	170	1453	199	2
1389	59	1427	112	1
1407	55	1433	80	2
1415	42	1440	63	2
1459	46	1500	82	2
1553	43	1594	84	1
1501	109	1527	136	2
1519	187	1545	219	2
1541	177	1594	248	1
1520	143	1548	174	2
1536	83	1577	114	2
1307	50	1342	77	2
1314	12	1376	90	1
1343	14	1378	35	2
1272	70	1357	138	1
1202	40	1258	83	1
1253	1	1282	28	2
1386	-1	1415	12	2
1368	542	1410	582	2
936	0	986	33	2
990	132	1042	172	2
383	-1	412	18	2
384	1177	419	1198	2
1570	942	1601	1026	1
1582	1031	1600	1088	1
1436	490	1497	550	1
1161	218	1257	296	1
1177	292	1247	337	1
1405	248	1469	310	1
1388	95	1477	155	1
1442	135	1505	197	1
1559	-1	1592	9	2
