x1	y1	x2	y2
821	192	857	266
230	205	267	241
294	291	315	346
309	301	333	346
121	362	178	388
771	373	813	400
251	544	283	581
331	549	367	579
299	445	325	501
200	546	228	586
183	583	205	603
205	605	235	639
461	616	512	657
870	954	896	991
82	816	114	862
115	818	140	869
10	1116	32	1160
176	1160	211	1183
235	1150	254	1171
477	1009	517	1050
460	1081	488	1116
430	1101	472	1122
855	1126	890	1176
879	1135	924	1174
932	1167	962	1191
878	1020	907	1092
1149	1064	1204	1104
1297	1101	1325	1140
1228	806	1257	867
1177	577	1212	620
1235	601	1265	649
1248	651	1269	688
1468	775	1501	817
1404	605	1453	638
965	284	1001	335
1276	246	1308	315
1272	228	1308	262
1308	229	1339	288
1047	493	1086	522
1241	345	1263	376
1285	5	1318	39
1311	1	1342	16
585	0	611	9
1437	115	1461	157
