x1	y1	x2	y2
27	428	55	457
648	228	675	255
343	215	370	247
374	242	401	272
303	209	342	241
264	238	295	264
92	203	114	225
12	156	51	187
27	228	70	265
25	259	57	283
45	321	69	350
21	336	49	360
88	359	114	384
63	330	110	365
244	355	270	383
270	341	304	367
311	332	337	370
330	316	356	353
277	179	313	215
206	143	255	170
215	149	250	185
130	135	163	166
154	155	176	179
188	119	216	142
132	75	162	105
9	32	30	59
0	0	8	12
176	0	213	8
205	32	223	58
207	92	232	112
210	101	241	124
293	136	329	162
271	128	310	157
149	45	184	82
233	32	264	59
313	53	340	80
356	76	387	106
368	13	404	39
352	0	395	17
290	-1	316	6
440	-1	475	17
528	101	562	139
471	141	503	178
462	190	496	218
484	166	513	196
568	183	594	212
574	201	600	227
620	177	644	202
630	162	660	193
753	192	780	220
703	163	730	185
634	101	673	137
539	300	570	324
513	331	538	351
528	337	554	357
677	0	707	38
627	12	669	34
734	94	761	118
770	98	796	131
698	0	724	32
721	-1	747	23
745	-1	769	9
781	53	808	80
813	142	841	178
759	231	783	261
777	295	816	333
813	326	840	354
788	334	814	362
751	397	781	424
836	30	865	63
848	65	873	94
854	105	879	130
873	139	918	175
949	133	983	167
918	73	949	103
929	88	945	103
898	5	921	27
880	69	905	98
871	183	899	210
939	224	959	244
915	246	937	286
901	298	919	320
931	340	958	358
925	347	967	377
924	370	955	391
889	372	933	404
951	423	976	442
876	435	902	463
732	451	760	483
708	465	743	491
740	483	776	514
701	520	734	554
768	552	797	583
907	502	933	538
908	529	934	546
931	495	963	522
469	386	491	413
391	424	418	448
392	443	414	464
438	496	463	520
509	446	528	470
556	443	582	471
557	415	577	434
588	386	617	410
607	394	628	418
661	391	697	419
634	429	660	446
632	471	659	497
616	467	649	486
597	470	624	499
649	535	689	558
492	537	529	579
295	466	324	496
616	553	644	581
163	461	196	492
98	482	119	502
110	491	136	516
5	541	30	566
-1	525	25	550
0	495	7	513
-1	565	19	594
108	556	135	586
103	592	137	619
184	529	203	551
353	482	379	502
366	509	401	529
512	497	544	521
331	540	357	586
308	548	332	574
268	568	297	604
242	567	275	590
230	485	250	508
259	69	283	94
301	651	334	680
153	674	190	731
232	728	278	759
98	683	122	707
106	714	143	748
62	682	94	712
48	645	84	682
37	682	65	715
133	796	170	825
129	849	150	872
287	939	322	962
343	788	377	809
360	783	389	806
417	675	440	700
411	807	443	827
410	822	439	842
434	857	473	879
419	877	445	898
429	938	454	963
458	957	491	990
443	990	472	1023
0	1082	36	1114
8	1069	33	1091
13	1058	66	1093
61	1012	98	1056
82	1031	109	1059
85	990	127	1018
-1	1005	17	1036
1	949	12	974
0	652	21	680
-1	634	16	653
86	1117	115	1144
20	1122	54	1162
1	1141	28	1178
230	986	280	1032
255	1017	290	1070
321	1023	350	1050
152	982	181	1015
182	978	209	1006
144	948	183	983
121	979	160	1006
265	1130	292	1180
132	1173	167	1198
161	1081	202	1127
163	1065	196	1096
356	1112	389	1146
370	1130	402	1166
411	1053	454	1095
421	1029	457	1060
411	1107	442	1144
422	1129	445	1158
413	1156	435	1180
455	1137	502	1178
616	1186	647	1199
645	1158	682	1193
652	1133	689	1167
686	1124	720	1152
568	1027	589	1052
590	1043	621	1071
554	995	589	1026
536	974	566	1003
568	965	597	992
594	902	622	932
656	868	683	889
552	795	576	822
482	1018	509	1044
475	1067	506	1096
513	1065	538	1089
504	1088	538	1123
755	1087	780	1126
750	1172	776	1196
822	1163	852	1195
830	1115	850	1147
879	1076	909	1108
889	1063	915	1090
903	1038	923	1062
882	1016	909	1046
834	1008	878	1025
698	983	720	1009
690	952	716	984
724	859	748	890
599	717	632	742
664	748	689	787
679	798	710	832
510	625	544	675
533	646	558	673
570	682	598	711
575	693	617	730
587	635	616	664
608	590	651	629
687	684	716	711
715	633	746	667
714	602	751	618
729	561	759	601
694	611	724	642
850	643	879	665
882	583	910	617
749	781	776	811
777	715	817	762
804	705	844	756
835	774	864	812
848	780	887	821
872	809	902	851
909	856	936	883
941	760	963	777
956	946	978	972
964	954	989	985
897	1191	921	1201
944	1066	983	1107
967	1010	1000	1041
1020	990	1058	1022
996	1049	1021	1079
1017	1063	1032	1082
1010	1143	1038	1168
1087	1064	1108	1088
1110	1095	1129	1118
1117	952	1146	980
1147	958	1177	981
1150	1063	1174	1095
