x1	y1	x2	y2
57	50	83	71
75	51	104	74
20	24	46	60
39	137	63	158
121	143	149	168
34	254	60	279
68	240	92	262
0	261	9	285
-1	320	21	366
86	352	107	375
102	346	120	371
87	382	108	406
143	413	186	455
174	388	195	410
213	388	245	418
229	390	255	407
224	356	256	378
274	346	291	363
298	361	319	382
289	400	311	426
206	261	232	280
182	287	207	312
149	299	175	319
212	220	240	239
226	195	250	220
244	65	274	92
263	89	289	114
205	69	232	89
286	7	310	36
191	20	214	41
193	-2	222	25
170	1	203	17
163	37	191	61
182	61	212	83
295	170	332	193
308	174	343	198
281	255	309	291
394	209	433	241
406	141	440	170
399	175	429	197
495	242	534	275
468	169	492	196
462	50	482	67
453	40	483	69
463	5	483	24
450	66	478	89
491	52	514	69
434	-2	474	16
617	95	657	127
543	81	566	103
555	70	578	94
559	259	583	286
712	75	744	107
781	56	803	79
799	40	822	63
812	28	839	53
819	2	851	32
867	12	890	41
822	97	853	123
868	114	894	143
909	246	935	271
894	260	912	283
894	275	917	298
782	340	811	374
784	226	819	267
791	196	825	215
798	197	834	228
782	153	822	184
827	146	872	190
771	135	792	160
722	156	762	184
720	176	764	211
756	189	789	219
690	202	715	226
620	330	654	354
638	344	664	365
594	383	620	401
657	472	692	497
742	437	767	463
832	493	857	516
890	484	913	507
909	451	931	472
916	427	937	447
889	321	925	352
966	390	989	417
856	510	884	540
831	515	862	535
497	434	520	457
500	360	532	381
358	339	393	369
386	285	422	306
445	408	469	437
614	464	638	489
623	550	649	579
525	520	549	546
445	495	475	520
377	422	406	450
362	438	396	471
364	463	386	486
355	481	384	513
209	498	247	524
221	516	249	543
226	565	264	589
227	596	257	627
28	611	52	631
240	427	271	454
297	477	331	512
6	357	33	406
271	552	295	577
296	545	322	562
358	595	381	616
385	613	409	632
627	588	653	612
755	535	793	575
734	514	762	535
717	533	755	566
734	568	780	600
749	593	778	625
815	609	837	635
212	615	245	646
195	640	222	669
189	674	225	706
213	658	263	697
233	686	273	714
226	682	254	708
273	675	303	695
290	631	312	658
276	616	296	639
214	706	248	734
208	718	235	749
186	695	209	718
238	716	272	748
140	737	168	759
42	661	71	690
8	755	42	790
80	760	108	792
106	774	134	804
103	810	131	838
91	809	116	842
71	797	106	827
222	757	246	783
224	803	251	836
239	840	276	876
153	842	195	872
148	821	176	848
52	825	94	867
33	861	69	886
18	865	42	896
7	803	38	839
35	889	71	927
71	913	114	952
-1	977	15	1002
13	1066	39	1091
10	1085	36	1106
259	943	296	968
169	981	208	1017
107	1060	138	1086
88	1066	122	1102
90	1108	134	1139
75	1146	102	1171
55	1173	83	1200
0	945	13	968
330	876	371	906
439	1044	468	1070
451	1050	482	1085
347	1021	379	1043
313	942	343	970
341	936	375	961
281	1057	311	1085
303	1073	338	1124
258	1081	282	1106
249	1133	277	1149
208	1140	238	1168
220	1158	240	1175
366	1160	390	1187
453	1092	483	1120
505	1067	529	1096
482	1018	510	1037
461	1026	487	1050
440	1001	473	1025
502	928	528	955
571	1078	592	1103
498	1146	528	1166
555	1169	580	1193
464	1184	490	1200
652	1049	675	1076
647	1025	677	1053
720	1068	745	1094
716	1077	743	1110
856	1010	895	1047
957	1132	987	1173
955	1174	979	1198
724	1169	765	1201
780	1170	833	1202
534	932	560	962
596	931	619	954
676	954	697	977
681	977	709	1009
741	963	762	990
281	840	327	888
371	795	399	818
377	814	406	848
408	828	437	856
464	811	494	851
461	855	488	876
646	895	675	935
672	899	697	923
686	897	715	920
678	909	721	938
685	852	712	878
767	853	795	876
782	884	806	905
767	923	796	947
795	951	816	981
824	974	850	998
574	791	597	807
530	773	562	799
567	764	602	789
540	739	565	767
603	698	632	730
562	638	595	678
474	648	501	681
410	706	446	737
423	694	444	720
469	723	503	762
513	709	540	734
493	747	527	785
470	778	502	805
439	743	480	772
689	758	716	781
711	754	743	790
720	757	749	786
776	672	813	712
795	631	820	659
833	633	859	657
809	663	846	700
790	714	830	748
848	726	876	762
780	749	808	779
797	753	830	782
773	784	801	813
780	767	813	797
797	787	825	806
828	822	862	851
867	802	902	852
940	668	974	707
893	651	931	691
905	909	937	935
907	929	935	960
867	918	899	947
953	976	981	1007
362	1029	408	1066
2	595	30	627
970	885	997	915
1033	875	1066	905
978	1044	1012	1073
956	1096	990	1126
1015	1093	1033	1112
1052	1127	1079	1153
1084	1114	1109	1135
1122	1089	1151	1116
1149	1175	1172	1197
1110	1173	1134	1190
1212	1140	1244	1172
1118	1192	1147	1198
1268	1149	1297	1178
1283	1170	1313	1199
1319	1188	1343	1200
1540	1146	1573	1180
1565	1158	1593	1191
1587	1171	1601	1195
1506	1071	1533	1096
1538	1073	1559	1102
1523	1097	1555	1127
1506	1105	1536	1130
1418	1078	1459	1109
1472	1050	1504	1082
1269	1032	1294	1058
1278	1107	1302	1130
1312	1103	1337	1129
1337	1091	1362	1115
1362	1089	1402	1120
1345	1044	1374	1074
1311	1021	1342	1051
1176	1024	1204	1056
1141	992	1172	1021
1114	1013	1139	1040
1146	948	1173	978
1165	912	1198	943
1160	887	1190	914
1177	880	1194	904
1155	863	1188	891
1111	885	1139	904
1296	774	1324	807
1306	774	1335	804
1227	739	1259	774
